Week,Title,URL
1,'Math-terpieces: The Art of Problem-Solving',https://www.youtube.com/watch?v=SdRPW6hUViw
2,'Your Fantastic Elastic Brain',https://www.youtube.com/watch?v=ljirBIi1kME
3,"'Biggest, Strongest, Fastest'",https://www.youtube.com/watch?v=pcG7ePvq5eo
4,'If You Were a Plus Sign',https://www.youtube.com/watch?v=HSrj2qeYL_g&t=6s
5,'Each Orange Had 8 Slices',https://www.youtube.com/watch?v=VMVRU1CG-bk
6,'One Grain of Rice',https://www.youtube.com/watch?v=fyN1n8ocC7o
7,'How Many Seeds In a Pumpkin',https://www.youtube.com/watch?v=tdViPybeP3c&pp=ygUmaG93IG1hbnkgc2VlZHMgaW4gYSBwdW1wa2luIHJlYWQgYWxvdWQ%3D
8,'Lemonade In Winter',https://www.youtube.com/watch?v=oM-IA8TIlzc&pp=ygUhbGVtb25hZGUgaW4gdGhlIHdpbnRlciByZWFkIGFsb3Vk
9,'If You Were a Minus Sign',https://www.youtube.com/watch?v=m-BDkEjlj5o&pp=ygUYaWYgeW91IHdlcmUgYSBtaW51cyBzaWdu
10,'What's the Difference?',https://www.youtube.com/watch?v=720BroN54hM&pp=ygVHd2hhdCdzIHRoZSBkaWZmZXJlbmNlIGFuIGVuZGFuZ2VyZWQgYW5pbWFsIHN1YnRyYWN0aW9uIHN0b3J5IHJlYWQgYWxvdWQ%3D
11,'Subtraction Action',https://www.youtube.com/watch?v=fTknhE8_1Q0&t=5s&pp=ygUdc3VidHJhY3Rpb24gYWN0aW9uIHJlYWQgYWxvdWQ%3D
12,'Lemonade for Sale',https://www.youtube.com/watch?v=Hhyzbq912Aw&pp=ygUfbGVtb25hZGUgZm9yIHNhbGUgc3R1YXJ0IG11cnBoeQ%3D%3D
13,'The Great Graph Contest',https://www.youtube.com/watch?v=BchU00u-bLQ&pp=ygUXdGhlIGdyZWF0IGdyYXBoIGNvbnRlc3Q%3D
14,'Night Noises',https://www.youtube.com/watch?v=8bnrCUzxWjY&pp=ygUUbmlnaHQgbm9pc2VzIG1lbSBmb3g%3D
15,'A Fair Bear Share',https://www.youtube.com/watch?v=umzbhj4Xbfo&pp=ygUcYSBmYWlyIGJlYXIgc2hhcmUgcmVhZCBhbG91ZA%3D%3D
16,"'It's About Time, Max!'",https://www.youtube.com/watch?v=CKCZO7_rC_s&pp=ygUeaXQncyBhYm91dCB0aW1lIG1heCByZWFkIGFsb3Vk
17,'Pigs on a Blanket',https://www.youtube.com/watch?v=Yv5z_VBln8s&pp=ygUccGlncyBvbiBhIGJsYW5rZXQgcmVhZCBhbG91ZA%3D%3D
18,'Is a Blue Whale the Biggest Thing There Is?',https://www.youtube.com/watch?v=3t80bx8tCS8&pp=ygU1aXMgYSBibHVlIHdoYWxlIHRoZSBiaWdnZXN0IHRoaW5nIHRoZXJlIGlzIHJlYWQgYWxvdWQ%3D
19,'Nothing Stopped Sophie',https://www.youtube.com/watch?v=Bs-hP1onOFk&pp=ygUhbm90aGluZyBzdG9wcGVkIHNvcGhpZSByZWFkIGFsb3Vk
20,'Actual Size',https://www.youtube.com/watch?v=-qphR4aEj_A&t=6s&pp=ygUkYWN0dWFsIHNpemUgc3RldmUgamVua2lucyByZWFkIGFsb3Vk
21,'Polly's Pen Pal',https://www.youtube.com/watch?v=76syiObzIaw&pp=ygUPcG9sbHlzIHBlbiBwYWxs
22,'Blockhead: The Life of Fibonacci',https://www.youtube.com/watch?v=Uz0fm1WLRF4&pp=ygUqYmxvY2toZWFkIHRoZSBsaWZlIG9mIGZpYm9uYWNjaSByZWFkIGFsb3Vk
23,'Dozens of Donuts',https://www.youtube.com/watch?v=IqwOO620qlI&pp=ygUeZG96ZW5zIG9mIGRvdWdobnV0cyByZWFkIGFsb3Vk
24,'Perfect Square',https://www.youtube.com/watch?v=lvQ2AW9f06g&pp=ygUZcGVyZmVjdCBzcXVhcmUgcmVhZCBhbG91ZA%3D%3D
25,'If You Were a Fraction',https://www.youtube.com/watch?v=PL7Vc-v8Lus&pp=ygUWaWYgeW91IHdlcmUgYSBmcmFjdGlvbg%3D%3D
26,'Shark Swimathon',https://www.youtube.com/watch?v=5sDCzojg_MU&pp=ygUac2hhcmsgc3dpbWF0aG9uIHJlYWQgYWxvdWQ%3D
27,'Infinity and Me',https://www.youtube.com/watch?v=wOlbpOSWFhQ&pp=ygUPaW5maW50aXkgYW5kIG1l
28,'How Much is a Million?',https://www.youtube.com/watch?v=VEARtdNVh_k&pp=ygUVaG93IG11Y2ggaXMgYSBtaWxsaW9u
29,'Sir Cumference and All the King's Tens',https://www.youtube.com/watch?v=GL0oKHCae_Q&pp=ygUmc2lyIGN1bWZlcmVuY2UgYW5kIGFsbCB0aGUga2luZydzIHRlbnM%3D
30,'Mapping Penny's World',https://www.youtube.com/watch?v=wsYdpOANqhw&pp=ygUgbWFwcGluZyBwZW5ueSdzIHdvcmxkIHJlYWQgYWxvdWQ%3D
