week,title,url
1,"Where's the Pair?",https://www.youtube.com/watch?v=rFDlcY28UEM
2,"Zero is the Leaves on the Tree",https://www.youtube.com/watch?v=RZHNrjTy54M
3,"Ten Black Dots",https://www.youtube.com/watch?v=I4PGv09T4qc
4,"Lyle Walks the Dogs",https://www.youtube.com/watch?v=xRUWBR8wcsE
5,"Sort it Out",https://www.youtube.com/watch?v=71npaGppnfg
6,"When a Line Bends...A Shape Begins",https://www.youtube.com/watch?v=8BzpyswDL4A
7,"Shapes, Shapes, Shapes",https://www.youtube.com/watch?v=JE77a0la7Rc
8,"Seeing Symmetry",https://www.youtube.com/watch?v=n4KFMgRlF4I
9,"Left, Right, Emma!",https://www.youtube.com/watch?v=BoGkOWSx1GU
10,"Pattern Fish",https://www.youtube.com/watch?v=7_mqVCewsYA
11,"Actual Size",https://www.youtube.com/watch?v=-qphR4aEj_A
12,"Albert Keeps Score",https://www.youtube.com/watch?v=xuFA-uvDAVA
13,"Birdsongs",https://www.youtube.com/live/TBCLKVCA3n8?si=KhGubKx4f2OGDrlJ&t=214
14,"Ten Flashing Fireflies",https://www.youtube.com/watch?v=YXCHLDAhxmg
15,"If You Were a Plus Sign",https://www.youtube.com/watch?v=HSrj2qeYL_g
16,"Domino Addition",https://www.youtube.com/watch?v=MnjnKUwbLsI
17,"Quack and Count",https://www.youtube.com/watch?v=a8Dyk_oBqvg
18,"Twenty Big Trucks",https://www.youtube.com/watch?v=LSBd903J5IU
19,"1 to 20, Animals Aplenty",https://www.youtube.com/watch?v=qhI9H3dvpJE
20,"Tally Cat Keeps Track",https://www.youtube.com/watch?v=kxMPd-9xmWM
21,"How Tall?",https://www.youtube.com/watch?v=HUQbthxqYSU
22,"How Heavy?",https://www.youtube.com/watch?app=desktop&v=C0EcCzLQxik
23,"Action of Subtraction",https://www.youtube.com/watch?v=IQL68GAhoAs
24,"If You Were a Minus Sign",https://www.youtube.com/watch?v=AvYv3-auP6w
25,"Subtraction Action",https://www.youtube.com/watch?v=fTknhE8_1Q0
26,"How Many Feet in the Bed?",https://www.youtube.com/watch?v=BEtidpNnU6Q
27,"Eggs & Legs",https://www.youtube.com/watch?v=4rOa-mncdEw
28,"Toasty Toes",https://www.youtube.com/watch?v=z-WyYXiQen8
29,"The Year at Maple Hill Farm",https://www.youtube.com/watch?v=dMdktIA-41c
30,"What Time Is It Mr. Crocodile?",https://www.youtube.com/watch?v=NySRDZgaH5Y
31,"Telling Time with Big Mama Cat",https://www.youtube.com/watch?v=V4zeGFpBabE
